'STATE' 'INCOME' 'CONSUMPTION' 'RAIN' 'COST'
ME 9.04 115 43.52 1.30
NH 11.66 99 63.23 1.56
VT 9.62 100 33.69 2.50
MA 12.51 78 43.81 1.01
RI 10.89 66 45.32 1.56
CT 14.09 66 44.39 2.42
NY 11.77 93 39.12 1.12
NJ 13.13 75 41.20 1.80
PA 10.29 66 39.05 2.29
OH 10.37 53 36.10 1.62
IN 9.99 115 40.34 1.68
IL 11.30 86 34.12 1.97
MI 10.90 85 32.93 0.91
WI 10.30 54 29.93 1.01
MN 11.19 148 28.02 1.16
IA 10.10 136 28.10 1.32
MO 10.28 86 34.22 1.77
ND 9.64 77 14.61 0.96
SD 8.55 110 20.20 1.17
NB 10.55 112 21.47 0.60
KS 10.68 75 31.00 1.94
DE 11.38 70 41.38 0.28
MD 12.97 102 41.84 0.99
VA 11.89 80 43.07 1.75
WV 8.14 62 42.43 2.52
NC 9.52 91 47.61 0.66
SC 8.89 75 50.41 0.82
GA 10.19 117 49.16 1.08
FL 11.27 123 52.35 1.11
KY 8.61 65 45.68 1.25
TN 9.29 83 47.15 1.66
AL 8.68 95 59.58 1.18
MS 7.48 73 52.82 0.99
AR 8.39 101 44.56 1.46
LA 8.84 145 51.79 1.51
OK 9.75 56 34.83 1.26
TX 10.37 143 26.91 1.25
MT 8.78 147 13.90 1.77
ID 8.57 284 11.29 0.86
WY 9.78 185 12.37 1.41
CO 11.71 152 11.66 1.27
NM 8.81 178 8.91 1.69
AZ 10.56 145 9.13 1.72
UT 8.54 217 15.31 0.58
NV 11.20 215 6.99 0.92
WA 10.87 146 23.84 1.26
OR 9.93 127 34.42 0.87
CA 11.88 133 12.81 1.04

